strain	county	state
24786-H1069217	Chelan	WA
24787-H1071236	Chelan	WA
24793-H1066079	King	WA
24798-H1069054	Chelan	WA
2480-T88001	Ada	ID
24802-H1072955	King	WA
24809-W1068464	King	WA
24839-W1064137	Chelan	WA
2487-T88307	Fairfield	CT
24887-M1053618	King	WA
24890-M1055704	King	WA
24891-M1052862	King	WA
24901-T1058981	Pierce	WA
24906-T1055394	Chelan	WA
24908-T1056821	Chelan	WA
24910-T1059379	King	WA
24920-W1059785	King	WA
24925-W1060794	King	WA
24928-W1066090	King	WA
24930-W1066677	King	WA
24935-T1059406	Pierce	WA
24937-M1060325	Spokane	WA
24941-T1059401	Pierce	WA
24943-W1068246	Thurston	WA
24946-T1059089	Pierce	WA
24954-H1065091	King	WA
24958-L1067253	King	WA
2526-M80234	King	WA
2532-M80025	King	WA
2540-F10609	King	WA
2541-M80121	King	WA
2551-M80207	King	WA
2565-M79182	King	WA
2566-M79378	King	WA
2572-M77792	Kitsap	WA
2595-X81015	Pierce	WA
2599-X81030	Pierce	WA
2603-X81051	Pierce	WA
2606-M80279	King	WA
2608-X81063	Snohomish	WA
2609-X81068	Snohomish	WA
2618-M80245	King	WA
26488-M1093875	King	WA
26489-T1102502	King	WA
26490-T1097680	King	WA
26491-M1101110	King	WA
26493-M1103606	King	WA
26495-T1099221	King	WA
2651-M81778	Kitsap	WA
2663-X81111	Kitsap	WA
2665-M82168	King	WA
267-T51581	King	WA
2670-M82290	King	WA
2674-M82387	Fairfield	CT
2676-M82456	Fairfield	CT
2679-W15112	King	WA
26846-T1103302	King	WA
26847-T1096502	King	WA
26848-T1096678	King	WA
26849-T1093743	King	WA
26850-T1095974	King	WA
26851-T1096167	King	WA
26852-W1103656	King	WA
26853-W1102635	King	WA
26854-W1102620	King	WA
26855-T1096777	King	WA
26856-T1096088	King	WA
26857-T1102500	King	WA
26858-T1097037	King	WA
26859-T1097101	King	WA
26860-T1095855	King	WA
26861-T1097814	King	WA
26862-T1097080	King	WA
26863-T1097708	King	WA
26864-H1110645	King	WA
26865-W1112543	King	WA
26866-W1102693	King	WA
26867-W1106363	King	WA
26868-W1103184	King	WA
26869-M1097280	King	WA
2700-W17634	King	WA
27030-M1108936	King	WA
27031-M1107894	Pierce	WA
27032-M1107832	Pierce	WA
27033-M1107845	Pierce	WA
27034-M1107810	King	WA
