strain,date,state,county,country
22363-L1059603,8/8/2020,WA,King,USA
22365-L1059348,8/8/2020,WA,King,USA
22370-L1058034,8/8/2020,WA,King,USA
22375-L1055631,8/7/2020,WA,King,USA
22376-L1057214,8/8/2020,WA,King,USA
22382-L1059292,8/8/2020,WA,King,USA
22389-S1032796,8/8/2020,WA,Chelan,USA
22398-L1054944,8/7/2020,WA,King,USA
22399-L1054663,8/7/2020,WA,King,USA
22405-F1061872,8/6/2020,WA,Grant,USA
22407-L1057081,8/8/2020,WA,King,USA
22409-L1057229,8/8/2020,WA,King,USA
22412-S1032737,8/8/2020,WA,Chelan,USA
22415-L1054420,8/7/2020,WA,King,USA
22416-S1034680,8/6/2020,OR,Deschutes,USA
22418-F1061426,8/7/2020,WA,Pierce,USA
22419-F1061414,8/7/2020,WA,Pierce,USA
22422-L1054412,8/7/2020,WA,King,USA
22423-L1057931,8/8/2020,WA,King,USA
22426-F1061583,8/7/2020,WA,King,USA
22429-F1061049,8/7/2020,WA,Pierce,USA
22431-F1059346,8/7/2020,WA,Pierce,USA
22432-F1061413,8/7/2020,WA,Pierce,USA
22436-H1062013,8/6/2020,WA,Pierce,USA
22438-L1051143,8/5/2020,WA,King,USA
22440-W1050999,8/1/2020,WA,King,USA
22444-L1051112,8/5/2020,WA,King,USA
22445-L1049974,8/5/2020,WA,King,USA
22446-W1047914,8/3/2020,OR,Deschutes,USA
22447-H1054526,8/5/2020,WA,Kitsap,USA
22449-L1050283,8/5/2020,WA,King,USA
2245-W63932,3/25/2020,WA,Thurston,USA
22451-W1051472,8/4/2020,WA,King,USA
22452-W1049014,8/3/2020,OR,Deschutes,USA
22454-L1050111,8/5/2020,WA,King,USA
22458-W1051635,8/4/2020,WA,King,USA
22460-L1051347,8/5/2020,WA,King,USA
22468-L1049746,8/5/2020,WA,King,USA
22476-L1050070,8/5/2020,WA,King,USA
22482-W1047536,8/3/2020,OR,Deschutes,USA
22485-T1045050,8/4/2020,WA,Pierce,USA
2249-T82787,3/24/2020,WA,Spokane,USA
22491-W1047465,8/5/2020,WA,Chelan,USA
22493-T1045682,8/4/2020,WA,Spokane,USA
22495-W1045879,8/5/2020,WA,Chelan,USA
2250-T82842,3/24/2020,WA,Spokane,USA
22502-W1042708,8/5/2020,WA,King,USA
22505-W1047328,8/4/2020,WA,Adams,USA
22514-T1045203,8/4/2020,WA,Pierce,USA
22517-T1044954,8/4/2020,WA,Pierce,USA
22521-W1051053,8/4/2020,WA,King,USA
22535-W1047849,8/5/2020,WA,King,USA
22537-W1048365,8/4/2020,WA,Adams,USA
2255-W66517,3/23/2020,ID,Kootenai,USA
2268-M84478,3/30/2020,WA,King,USA
22720-F1059333,8/7/2020,WA,Pierce,USA
22723-F1061516,8/7/2020,WA,King,USA
22731-F1060592,8/7/2020,WA,Pierce,USA
22735-F1061676,8/7/2020,WA,King,USA
22746-F1052641,8/7/2020,WA,Chelan,USA
22747-L1056413,8/7/2020,WA,King,USA
22748-F1052227,8/7/2020,WA,Chelan,USA
22751-L1055331,8/7/2020,WA,King,USA
22752-F1052097,8/7/2020,WA,Chelan,USA
22753-F1052095,8/7/2020,WA,Chelan,USA
22755-F1052226,8/7/2020,WA,Chelan,USA
22756-H1061353,8/6/2020,WA,Pierce,USA
22757-F1061216,8/6/2020,WA,King,USA
22758-H1061824,8/6/2020,WA,Spokane,USA
22762-H1061904,8/6/2020,WA,Spokane,USA
22769-F1050260,8/7/2020,WA,Okanogan,USA
22774-H1061057,8/6/2020,WA,Chelan,USA
2278-H27426,4/16/2020,WA,Pierce,USA
22782-F1054625,8/7/2020,WA,Chelan,USA
22784-H1061776,8/6/2020,WA,Spokane,USA
22791-F1055361,8/7/2020,WA,Spokane,USA
2280-M81172,3/30/2020,WA,Chelan,USA
22804-T1042529,8/4/2020,WA,King,USA
22809-T1038750,8/4/2020,WA,King,USA
22817-W1044025,8/5/2020,WA,King,USA
22827-W1053092,8/5/2020,WA,Pierce,USA
22835-W1047900,8/5/2020,WA,Chelan,USA
22839-W1049408,8/5/2020,WA,Chelan,USA
22847-W1053235,8/4/2020,WA,King,USA
22848-W1053183,8/4/2020,WA,King,USA
22851-W1049115,8/5/2020,WA,Chelan,USA
22852-W1044471,8/5/2020,WA,Okanogan,USA
22854-W1053429,8/5/2020,WA,Thurston,USA
22855-W1048927,8/5/2020,WA,Chelan,USA
22859-W1049784,8/5/2020,WA,Spokane,USA
22864-W1050646,8/5/2020,WA,Chelan,USA
22867-W1052295,8/5/2020,WA,Pierce,USA
22871-H1054819,8/4/2020,OR,Deschutes,USA
22885-H1050577,8/6/2020,WA,King,USA
22892-H1059846,8/6/2020,WA,King,USA
22897-H1060621,8/6/2020,WA,Pierce,USA
22899-H1059544,8/6/2020,WA,Pierce,USA
22900-H1059541,8/6/2020,WA,Pierce,USA
22903-H1052453,8/6/2020,WA,King,USA
22918-T1055769,8/9/2020,OR,Deschutes,USA
22920-T1057436,8/10/2020,WA,King,USA
22922-T1058507,8/11/2020,WA,Kitsap,USA
22927-X1028793,8/9/2020,WA,Pierce,USA
22938-M1051760,8/10/2020,WA,Chelan,USA
22948-M1056794,8/10/2020,WA,Chelan,USA
22951-M1050974,8/10/2020,WA,Chelan,USA
22952-L1060273,8/10/2020,WA,King,USA
22963-L1060136,8/10/2020,WA,King,USA
22972-T1053057,8/10/2020,WA,King,USA
22978-M1058022,8/10/2020,WA,King,USA
